action,distance_to_goal,experiment,gamma,loss,orientation,reward,signal1,signal2,signal3,speed,time
-8,460.8047308784926,1,0.95,,-0.7770772023455821,-0.3,0.0144,0.0144,0.0096,4,1
-8,464.20888368162656,1,0.95,,-0.823302382820749,-0.3,0.0132,0.0144,0.0084,4,2
-8,467.87858847116206,1,0.95,,-0.8691924016664712,-0.3,0.0108,0.0144,0.006,4,3
-8,471.7370896123598,1,0.95,,-0.9147239410934163,-0.3,0.0072,0.0132,0.0024,4,4
-8,475.7056293496633,1,0.95,,-0.9598828488790081,-0.3,0.0036,0.0084,0.0,4,5
17,479.70520360209116,1,0.95,,0.9953362713944172,-0.3,0.0036,0.0096,0.0,4,6
-8,483.54829291371135,1,0.95,,-0.9101803972637235,-0.3,0.0,0.004,0.0,4,7
-8,487.5093396254973,1,0.95,,-0.9553580256178288,-0.3,0.0,0.0005,0.0,4,8
17,491.5093390758244,1,0.95,,0.9998324433302463,-0.3,0.0,0.0002,0.0,4,9
-8,495.33654404622564,1,0.95,,-0.9057217486161265,-0.3,0.0,0.0,0.0,4,10
-8,499.28946055486887,1,0.95,,-0.9509164380994107,-0.3,0.0,0.0,0.0,4,11
-8,503.28910727909437,1,0.95,,-0.9957525534490966,-0.3,0.0,0.0,0.0,4,12
17,507.25745219732426,1,0.95,,0.9597692455998975,-0.3,0.0,0.0,0.0,4,13
-8,511.19935526422904,1,0.95,,-0.9454699125280881,-0.3,0.0,0.0,0.0,4,14
-8,515.1975273314611,1,0.95,,-0.9903389566766918,-0.3,0.0,0.0,0.0,4,15
0,519.1737500817427,1,0.95,,0.9651416019334417,-0.3,0.0,0.0,0.0,4,16
17,523.1503353524952,1,0.95,,0.9654096337430996,-0.3,0.0,0.0,0.0,4,17
-8,527.0797411461471,1,0.95,,-0.9398819645600983,-0.3,0.0,0.0,0.0,4,18
-8,531.0752038370077,1,0.95,,-0.9847799364773522,-0.3,0.0,0.0,0.0,4,19
17,535.0583515009059,1,0.95,,0.9706610269089111,-0.3,0.0,0.0,0.0,4,20
-8,538.9750302079744,1,0.95,,-0.9346755061690932,-0.3,0.0,0.0,0.0,4,21
-8,542.9668798709149,1,0.95,,-0.9796013602534124,-0.3,0.0,0.0,0.0,4,22
13,546.9554135574324,1,0.95,,0.9758040227448036,-0.3,0.0,0.0,0.0,4,23
-8,550.9099669361834,1,0.95,,-0.9517969751094553,-0.3,0.0,0.0,0.0,4,24
-8,554.9097390729642,1,0.95,,-0.9965900718842662,-0.3,0.0,0.0,0.0,4,25
17,558.8767447107563,1,0.95,,0.9589409040853939,-0.3,0.0,0.0,0.0,4,26
-8,562.8204037908588,1,0.95,,-0.9463215969794043,-0.3,0.0,0.0,0.0,4,27
-8,566.8188672927168,1,0.95,,-0.9911457317064375,-0.3,0.0,0.0,0.0,4,28
17,570.793977871975,1,0.95,,0.9643473479714642,-0.3,0.0,0.0,0.0,4,29
-8,574.7258403557298,1,0.95,,-0.9409588836048728,-0.3,0.0,0.0,0.0,4,30
-19,578.7218949098394,1,0.95,,-0.9858118927496949,-0.3,0.0,0.0,0.0,4,31
17,582.558994131319,1,0.95,,0.908534519047497,-0.3,0.0,0.0,0.0,4,32
-8,586.5587402866322,1,0.95,,-0.9964016174894622,-0.3,0.0,0.0,0.0,4,33
17,590.5260351874072,1,0.95,,0.9591293996482007,-0.3,0.0,0.0,0.0,4,34
-8,594.4693130205385,1,0.95,,-0.9461500739390433,-0.3,0.0,0.0,0.0,4,35
-8,598.467709062079,1,0.95,,-0.9909551320557264,-0.3,0.0,0.0,0.0,4,36
17,602.443078496783,1,0.95,,0.9645399781275574,-0.3,0.0,0.0,0.0,4,37
-8,606.3745052154605,1,0.95,,-0.9407806226069106,-0.3,0.0,0.0,0.0,4,38
-8,610.3704471940842,1,0.95,,-0.9856134630989833,-0.3,0.0,0.0,0.0,4,39
17,614.3526311532734,1,0.95,,0.9698478438592205,-0.3,0.0,0.0,0.0,4,40
-8,618.2713451354074,1,0.95,,-0.9355116869098136,-0.3,0.0,0.0,0.0,4,41
-8,622.2637905170956,1,0.95,,-0.9803705000991089,-0.3,0.0,0.0,0.0,4,42
17,626.251596176764,1,0.95,,0.9750589542017737,-0.3,0.0,0.0,0.0,4,43
-8,630.156784505828,1,0.95,,-0.9303374606242247,-0.3,0.0,0.0,0.0,4,44
-8,634.1447466557469,1,0.95,,-0.9752205755803594,-0.3,0.0,0.0,0.0,4,45
17,638.1370425982196,1,0.95,,0.9801788364110875,-0.3,0.0,0.0,0.0,4,46
-8,642.0279365188866,1,0.95,,-0.9252525554890682,-0.3,0.0,0.0,0.0,4,47
-8,646.0104797635083,1,0.95,,-0.9701584277823709,-0.3,0.0,0.0,0.0,4,48
17,650.0061907786182,1,0.95,,0.9852126237706934,-0.3,0.0,0.0,0.0,4,49
-8,653.8820616480745,1,0.95,,-0.9202519661398347,-0.3,0.0,0.0,0.0024,4,50
-8,657.8582968490712,1,0.95,,-0.9651791667852827,-0.3,0.0024,0.0,0.0096,4,51
17,661.8563992516761,1,0.95,,0.990165088382456,-0.3,0.0021,0.0,0.012,4,52
-8,665.7165549276913,1,0.95,,-0.915331038288183,-0.3,0.0072,0.0,0.0154,4,53
-8,669.6856355094197,1,0.95,,-0.960278243758299,-0.3,0.0112,0.0028,0.02,4,54
17,673.6851529168189,1,0.95,,0.9950406709381443,-0.3,0.0077,0.0022,0.0154,4,55
-8,677.5289345311454,1,0.95,,-0.9104854398335385,-0.3,0.008,0.0035,0.0156,4,56
-8,681.4900529106236,1,0.95,,-0.9554514230305577,-0.3,0.0065,0.0024,0.016,4,57
17,685.4900524300348,1,0.95,,0.9998435077634765,-0.3,0.0013,0.0031,0.0068,4,58
-8,689.316831502199,1,0.95,,-0.9057111346221235,-0.3,0.0093,0.0155,0.0019,4,59
-8,693.2692158766633,1,0.95,,-0.9506947567110322,-0.3,0.0186,0.0248,0.0062,4,60
-8,697.2688046587244,1,0.95,,-0.9954225446010282,-0.3,0.0248,0.0341,0.0124,4,61
17,701.2376096320044,1,0.95,,0.960106752515277,-0.3,0.0403,0.0434,0.0279,4,62
-8,705.1788579389435,1,0.95,,-0.9452218391857763,-0.3,0.0496,0.0558,0.0372,4,63
-8,709.1768856712506,1,0.95,,-0.989975471525891,-0.3,0.0558,0.0651,0.0434,4,64
-13,713.1535771575091,1,0.95,,0.9655235516088064,-0.3,0.0589,0.0713,0.0434,4,65
17,716.9329508253958,1,0.95,,0.8934943261402363,-0.3,0.0744,0.0806,0.0589,4,66
17,720.9303649862666,1,0.95,,0.9885219744230321,-0.3,0.0868,0.0899,0.0775,4,67
-8,724.7957869427194,1,0.95,,-0.9169699104150885,-0.3,0.0961,0.0961,0.0868,4,68
-8,728.7672753571828,1,0.95,,-0.9618674024167888,-0.3,0.0961,0.0961,0.096,4,69
17,732.7664406794712,1,0.95,,0.9934793542092328,-0.3,0.0961,0.0961,0.0991,4,70
-8,736.6154990334127,1,0.95,,-0.9120406091609075,-0.3,0.0964,0.0961,0.0996,4,71
-8,740.579179612498,1,0.95,,-0.9569566389226207,-0.3,0.0966,0.0961,0.1001,4,72
17,744.5791272660149,1,0.95,,0.9983671396339779,-0.3,0.0961,0.0961,0.0961,4,73
-8,748.4111469268042,1,0.95,,-0.907179643968967,-0.3,0.0961,0.0961,0.0961,4,74
-8,752.366206160648,1,0.95,,-0.9521131806047358,-0.3,0.0961,0.0961,0.0961,4,75
-8,756.3660065140876,1,0.95,,-0.996811258961016,-1.0,0.0961,0.0961,0.0961,4,76
17,756.5643280972687,1,0.95,,0.9587274333950884,-1.0,0.0961,0.0961,0.0961,4,77
-8,756.761543791423,1,0.95,,-0.9468172421822172,-1.0,0.0961,0.0961,0.0961,4,78
-8,756.9614686946421,1,0.95,,-0.991275676678995,-1.0,0.0961,0.0961,0.0961,4,79
17,757.1602108951806,1,0.95,,0.9642775740746866,-1.0,0.0961,0.0961,0.0961,4,80
-8,757.3568170283961,1,0.95,,-0.9412685653789257,-1.0,0.0961,0.0961,0.0961,4,81
-8,757.5566160933054,1,0.95,,-0.9857284315526434,-1.0,0.0961,0.0961,0.0961,4,82
17,757.7557182472008,1,0.95,,0.9698233574758618,-1.0,0.0961,0.0961,0.0961,4,83
-8,757.9516556434139,1,0.95,,-0.9357242452633084,-1.0,0.0961,0.0961,0.0961,4,84
