action,action_result,distance_to_goal,experiment,gamma,loss,orientation,reward,signal1,signal2,signal3,speed,time
-14,MOVE,468.187996428785,1,0.96,,-0.09322664286355004,-0.3,0.0,0.0,0.0,3,1
-14,FORWARD,465.6159934480123,1,0.96,,-0.1715932840219114,0.2,0.0,0.0,0.0,3,2
-14,FORWARD,463.5023671388107,1,0.96,,-0.2504238773363466,0.2,0.0,0.0,0.0,3,3
-14,FORWARD,461.9796965310607,1,0.96,,-0.32966041397373125,0.2,0.0,0.0,0.0,3,4
-14,FORWARD,461.1446184530504,1,0.96,,-0.4092162640570423,0.2,0.0,0.0,0.0,3,5
-14,FORWARD,461.0505380328462,1,0.96,,-0.4889811844616725,0.2,0.0,0.0,0.0,3,6
-14,MOVE,461.7034901310356,1,0.96,,-0.5688289398495543,-0.3,0.0,0.0,0.0,3,7
-14,MOVE,463.0616667058905,1,0.96,,-0.6486268413846916,-0.3,0.0,0.0004,0.0,3,8
-14,MOVE,465.0386703692851,1,0.96,,-0.7282460922398732,-0.3,0.0,0.0,0.0,3,9
-14,MOVE,467.510085306927,1,0.96,,-0.8075716442964284,-0.3,0.0,0.0,0.0,3,10
-14,MOVE,470.3225831076394,1,0.96,,-0.8865103830205917,-0.3,0.0,0.0,0.0,3,11
-14,MOVE,473.30457719954745,1,0.96,,-0.964996826464962,-0.3,0.0,0.0,0.0,3,12
2,MOVE,476.27742184619325,1,0.96,,0.957003978038468,-0.3,0.0,0.0,0.0,3,13
2,MOVE,479.26272928565373,1,0.96,,0.9683850918636459,-0.3,0.0,0.0,0.0,3,14
2,MOVE,482.25666478855754,1,0.96,,0.9796937749241477,-0.3,0.0,0.0,0.0,3,15
2,MOVE,485.2554548141909,1,0.96,,0.9909311204037151,-0.3,0.0,0.0,0.0,3,16
-14,MOVE,488.2553900337295,1,0.96,,-0.9979017094381152,-0.3,0.0,0.0,0.0,3,17
2,MOVE,491.17147791434303,1,0.96,,0.9243076202974572,-0.3,1.0,0.0,1.0,3,18
1,MOVE,494.1111753977425,1,0.96,,0.9358767042509374,-0.3,1.0,1.0,1.0,3,19
1,MOVE,497.06150045094046,1,0.96,,0.941818957095659,-0.3,1.0,1.0,1.0,3,20
1,MOVE,500.0213742280105,1,0.96,,0.9477237106920153,-0.3,1.0,1.0,1.0,3,21
1,MOVE,502.9897345272516,1,0.96,,0.953591502602724,-0.3,1.0,1.0,1.0,3,22
1,MOVE,505.9655357644436,1,0.96,,0.9594228745009955,-0.3,1.0,1.0,1.0,3,23
1,ON_EDGE,508.94774892342815,1,0.96,,0.9652183712210449,-0.9,1.0,1.0,1.0,3,24
1,FORWARD,505.73119092792405,1,0.96,,0.9640536711934642,0.2,1.0,1.0,1.0,3,25
1,MOVE,508.72227284135005,1,0.96,,0.9753775631900962,-0.3,1.0,1.0,1.0,3,26
1,ON_EDGE,511.7170049380465,1,0.96,,0.9810781756336223,-0.9,1.0,1.0,1.0,3,27
1,FORWARD,506.5078770209942,1,0.96,,0.9793624560117219,0.2,1.0,1.0,1.0,3,28
1,MOVE,509.5065755132399,1,0.96,,0.9905957158000334,-0.3,1.0,1.0,1.0,3,29
1,ON_EDGE,512.5063637330671,1,0.96,,0.9962066361926734,-0.9,1.0,1.0,1.0,3,30
1,FORWARD,507.441389579292,1,0.96,,0.9944070272922582,0.2,1.0,1.0,1.0,3,31
1,MOVE,510.44093606150534,1,0.96,,-0.9944487975716232,-0.3,1.0,1.0,1.0,3,32
1,ON_EDGE,513.4391312888865,1,0.96,,-0.988925866286534,-0.9,1.0,1.0,1.0,3,33
9,FORWARD,508.5358920387268,1,0.96,,-0.9908051748311999,0.2,1.0,1.0,1.0,3,34
1,MOVE,511.4744983399692,1,0.96,,-0.9353038546600903,-0.3,1.0,1.0,1.0,3,35
1,ON_EDGE,514.4029205467446,1,0.96,,-0.9301251603870303,-0.9,1.0,1.0,1.0,3,36
1,FORWARD,509.99772164731485,1,0.96,,-0.9322529765460348,0.2,1.0,1.0,1.0,3,37
1,MOVE,512.9075629809288,1,0.96,,-0.9215373773731691,-0.3,1.0,1.0,1.0,3,38
1,ON_EDGE,515.8053648929531,1,0.96,,-0.9164361170141515,-0.9,1.0,1.0,1.0,3,39
1,FORWARD,511.8083609601501,1,0.96,,-0.9185788130190917,0.2,1.0,1.0,1.0,3,40
1,MOVE,514.6844756535265,1,0.96,,-0.9079397705348975,-0.3,1.0,1.0,1.0,3,41
1,ON_EDGE,517.5467946213167,1,0.96,,-0.9029133676431651,-0.9,1.0,1.0,1.0,3,42
1,FORWARD,513.8007084452154,1,0.96,,-0.9051026839320698,0.2,1.0,1.0,1.0,3,43
1,MOVE,516.6384712209974,1,0.96,,-0.8945374917189126,-0.3,1.0,1.0,1.0,3,44
1,ON_EDGE,519.4607816757124,1,0.96,,-0.8895831901185578,-0.9,1.0,1.0,1.0,3,45
1,FORWARD,515.9792476282066,1,0.96,,-0.8918103519845073,0.2,1.0,1.0,1.0,3,46
1,MOVE,518.7742709495795,1,0.96,,-0.8813162344971468,-0.3,1.0,1.0,1.0,3,47
1,ON_EDGE,521.5522797473036,1,0.96,,-0.8764312189501572,-0.9,1.0,1.0,1.0,3,48
1,FORWARD,518.347875780583,1,0.96,,-0.8786868541240453,0.2,1.0,1.0,1.0,3,49
1,MOVE,521.0959860495269,1,0.96,,-0.8682609838311532,-0.3,1.0,1.0,1.0,3,50
1,ON_EDGE,523.8256085529962,1,0.96,,-0.8634423960123934,-0.9,1.0,1.0,1.0,3,51
1,FORWARD,520.9097523425382,1,0.96,,-0.8657166086940256,0.2,1.0,1.0,1.0,3,52
1,MOVE,523.6069657751594,1,0.96,,-0.8553561214172032,-0.3,1.0,1.0,1.0,3,53
1,MOVE,526.284301714137,1,0.96,,-0.8506010741573631,-0.3,1.0,1.0,1.0,3,54
1,ON_EDGE,528.9412526189063,1,0.96,,-0.8458662195329808,-0.9,1.0,1.0,1.0,3,55
1,FORWARD,524.6346656568782,1,0.96,,-0.8486396312926004,0.2,1.0,1.0,1.0,3,56
1,MOVE,527.2581307510519,1,0.96,,-0.8383617892023778,-0.3,1.0,1.0,1.0,3,57
1,MOVE,529.8599865770115,1,0.96,,-0.8336869067941655,-0.3,1.0,1.0,1.0,3,58
1,ON_EDGE,532.4397631528992,1,0.96,,-0.8290307332834119,-0.9,1.0,1.0,1.0,3,59
1,FORWARD,528.7095257641865,1,0.96,,-0.8317666222954774,0.2,1.0,1.0,1.0,3,60
1,MOVE,531.252782975661,1,0.96,,-0.8215662761651689,-0.3,1.0,1.0,1.0,3,61
1,MOVE,533.7728256204797,1,0.96,,-0.8169663939667194,-0.3,1.0,1.0,1.0,3,62
1,ON_EDGE,536.2692187169415,1,0.96,,-0.8123837962008047,-0.9,1.0,1.0,1.0,3,63
1,FORWARD,533.1331286267225,1,0.96,,-0.8150577792977257,0.2,1.0,1.0,1.0,3,64
1,MOVE,535.5899769198519,1,0.96,,-0.8049297887086122,-0.3,1.0,1.0,1.0,3,65
1,MOVE,538.0221202683877,1,0.96,,-0.8003997617468946,-0.3,1.0,1.0,1.0,3,66
1,MOVE,540.4291563306855,1,0.96,,-0.7958856575821225,-0.3,1.0,1.0,1.0,3,67
1,ON_EDGE,542.8106907496706,1,0.96,,-0.7913871012038217,-0.9,1.0,1.0,1.0,3,68
1,FORWARD,539.1473754041691,1,0.96,,-0.7943449318757129,0.2,1.0,1.0,1.0,3,69
1,MOVE,541.4878037876337,1,0.96,,-0.7843001905754292,-0.3,1.0,1.0,1.0,3,70
1,MOVE,543.8018099644017,1,0.96,,-0.779850294223031,-0.3,1.0,1.0,1.0,3,71
1,MOVE,546.0890293971676,1,0.96,,-0.7754147097706912,-0.3,1.0,1.0,1.0,3,72
1,MOVE,548.3491048920644,1,0.96,,-0.7709930937561269,-0.3,1.0,1.0,1.0,3,73
1,ON_EDGE,550.5816864812701,1,0.96,,-0.7665851097195086,-0.9,1.0,1.0,1.0,3,74
1,FORWARD,547.0449643879905,1,0.96,,-0.7696388496249215,0.2,1.0,1.0,1.0,3,75
1,MOVE,549.2336755399343,1,0.96,,-0.7596836215702857,-0.3,1.0,1.0,1.0,3,76
1,MOVE,551.3940932506256,1,0.96,,-0.7553195214155298,-0.3,1.0,1.0,1.0,3,77
1,MOVE,553.5258945435843,1,0.96,,-0.7509679335037631,-0.3,1.0,1.0,1.0,3,78
1,MOVE,555.6287631359231,1,0.96,,-0.746628549523626,-0.3,1.0,1.0,1.0,3,79
1,MOVE,557.702389343195,1,0.96,,-0.7423010672657273,-0.3,1.0,1.0,1.0,3,80
1,MOVE,559.7464699878536,1,0.96,,-0.7379851904507864,-0.3,1.0,1.0,1.0,3,81
1,ON_EDGE,561.7607083111996,1,0.96,,-0.7336806285615032,-0.9,1.0,1.0,1.0,3,82
1,FORWARD,558.6316598758091,1,0.96,,-0.7367407996430239,0.2,1.0,0.0,1.0,3,83
2,MOVE,560.5980926601003,1,0.96,,-0.7268877128519144,-0.3,1.0,1.0,1.0,3,84
1,MOVE,562.4937940799819,1,0.96,,-0.7170653066622441,-0.3,1.0,1.0,1.0,3,85
1,MOVE,564.3584103670547,1,0.96,,-0.7128277543544465,-0.3,1.0,1.0,1.0,3,86
1,MOVE,566.1916834297621,1,0.96,,-0.7085999285856909,-0.3,1.0,1.0,1.0,3,87
1,MOVE,567.993361001086,1,0.96,,-0.7043815733794835,-0.3,1.0,1.0,1.0,3,88
1,MOVE,569.763196574286,1,0.96,,-0.7001724374064663,-0.3,1.0,1.0,1.0,3,89
1,MOVE,571.5009493411841,1,0.96,,-0.6959722738429927,-0.3,1.0,1.0,1.0,3,90
1,MOVE,573.2063841329034,1,0.96,,-0.6917808402329965,-0.3,1.0,1.0,1.0,3,91
1,MOVE,574.8792713629732,1,0.96,,-0.6875978983530687,-0.3,1.0,1.0,1.0,3,92
1,MOVE,576.5193869727137,1,0.96,,-0.6834232140806635,-0.3,1.0,1.0,1.0,3,93
1,MOVE,578.1265123788202,1,0.96,,-0.6792565572653441,-0.3,1.0,0.0,1.0,3,94
1,MOVE,579.7004344230673,1,0.96,,-0.675097701602992,-0.3,1.0,0.0,1.0,3,95
1,MOVE,581.240945324057,1,0.96,,-0.6709464245128888,-0.3,1.0,0.0,1.0,3,96
1,MOVE,582.7478426309376,1,0.96,,-0.6668025070175955,-0.3,1.0,0.0,1.0,3,97
1,MOVE,584.2209291790247,1,0.96,,-0.6626657336255415,-0.3,1.0,0.0,1.0,3,98
5,MOVE,585.660013047256,1,0.96,,-0.6585358922162454,-0.3,1.0,0.0,1.0,3,99
1,MOVE,586.8767954557005,1,0.96,,-0.6321905517058645,-0.3,1.0,0.0,1.0,3,100
1,MOVE,588.0584684286936,1,0.96,,-0.6281238327392515,-0.3,1.0,0.0,1.0,3,101
1,MOVE,589.204884318472,1,0.96,,-0.6240623708769754,-0.3,0.0,0.0,1.0,3,102
-14,MOVE,590.3159003237754,1,0.96,,-0.6200059811836603,-0.3,1.0,0.0,1.0,3,103
1,MOVE,592.0788120635682,1,0.96,,-0.6992878144001805,-0.3,1.0,0.0,1.0,3,104
1,MOVE,593.8092018000009,1,0.96,,-0.6950391970130725,-0.3,1.0,0.0,1.0,3,105
1,MOVE,595.5068282097845,1,0.96,,-0.6907992324430818,-0.3,1.0,0.0,1.0,3,106
1,MOVE,597.1714557726801,1,0.96,,-0.6865676849636217,-0.3,0.0,0.0,1.0,3,107
-14,MOVE,598.8028547163507,1,0.96,,-0.6823443226989894,-0.3,1.0,0.0,1.0,3,108
2,MOVE,601.0026458652778,1,0.96,,-0.7614622508394301,-0.3,1.0,0.0,1.0,3,109
2,MOVE,603.137194764633,1,0.96,,-0.751433482544843,-0.3,1.0,0.0,1.0,3,110
2,MOVE,605.2046045941189,1,0.96,,-0.7414368623054287,-0.3,1.0,0.0,1.0,3,111
2,MOVE,607.2030549010668,1,0.96,,-0.7314710785281564,-0.3,1.0,0.0,1.0,3,112
1,MOVE,609.1308013156885,1,0.96,,-0.7215348277167665,-0.3,1.0,0.0,1.0,3,113
